,id,first_name,height_feet,height_inches,last_name,position,weight_pounds,abbreviation,city,conference,division,full_name,name
1627,2073,Scotty,,,Hopson,,,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1628,2092,Alex,,,Kirk,,,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1629,2093,Zoran,,,Dragic,,,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1630,2094,Nick,,,Johnson,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1631,2095,Andre,,,Dawkins,,,MIA,Miami,East,Southeast,Miami Heat,Heat
1632,2096,Russ,,,Smith,,,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
1633,2097,Patric,,,Young,,,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
1634,2098,Will,,,Cherry,,,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1635,2101,Erick,,,Green,,,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1636,2102,Adreian,,,Payne,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1637,2103,Drew,,,Gordon,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1638,2104,Markel,,,Brown,,,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
1639,2108,Ronald,,,Roberts Jr.,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1640,2109,Damien,,,Inglis,,,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
1641,2111,Mitch,,,McGary,,,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1642,2112,Furkan,,,Aldemir,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1643,2113,Patrick,,,Christopher,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1644,2114,Elijah,,,Millsap,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1645,2115,Larry,,,Drew II,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1646,2116,James,,,Michael McAdoo,,,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
1647,2118,Joffrey,,,Lauvergne,,,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1648,2119,Jack,,,Cooley,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1649,2120,Bryce,,,Cotton,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1650,2121,Jerrelle,,,Benimon,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1651,2122,Jarell,,,Eddie,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1652,2123,Jabari,,,Brown,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1653,2124,Sean,,,Kilpatrick,,,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
1654,2125,David,,,Wear,,,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1655,2126,Sim,,,Bhullar,,,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1656,2127,Darrun,,,Hilliard,,,DET,Detroit,East,Central,Detroit Pistons,Pistons
1657,2128,Lamar,,,Patterson,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1658,2129,Sasha,,,Kaun,,,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1659,2130,Tibor,,,Pleiss,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1660,2131,Rashad,,,Vaughn,,,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
1661,2132,Aaron,,,Harrison,,,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1662,2134,Luis,,,Montero,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1663,2135,Marcelo,,,Huertas,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1664,2136,Anthony,,,Brown,,,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1665,2137,Jordan,,,Mickey,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1666,2138,Edy,,,Tavares,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1667,2140,Duje,,,Dukan,,,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1668,2141,Cliff,,,Alexander,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1669,2142,Josh,,,Huestis,,,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1670,2143,Branden,,,Dawson,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1671,2144,Rakeem,,,Christmas,,,IND,Indiana,East,Central,Indiana Pacers,Pacers
1672,2145,JJ,,,O'Brien,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1673,2146,Keith,,,Appling,,,ORL,Orlando,East,Southeast,Orlando Magic,Magic
1674,2147,Bryce,,,Dejean-Jones,,,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
1675,2149,Chris,,,McCullough,,,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
1676,2150,Alex,,,Stepheson,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1677,2107,Grant,,,Jerrett,,,DET,Detroit,East,Central,Detroit Pistons,Pistons
1678,2152,Briante,,,Weber,G,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1679,2153,Coty,,,Clarke,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1680,2154,Xavier,,,Munford,,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1681,2155,John,,,Holland,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1682,2156,Mindaugas,,,Kuzminskas,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1683,2157,Nicolas,,,Laprovittola,,,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
1684,2159,Joel,,,Bolomboy,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1685,2161,Kyle,,,Wiltjer,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1686,2163,Michael,,,Gbinije,,,DET,Detroit,East,Central,Detroit Pistons,Pistons
1687,2110,Johnny,,,O'Bryant III,,,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
1688,2165,Nicolas,,,Brussino,,,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
1689,2166,Paul,,,Zipser,,,CHI,Chicago,East,Central,Chicago Bulls,Bulls
1690,2167,Diamond,,,Stone,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1691,2168,Daniel,,,Ochefu,,,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1692,2170,Malcolm,,,Delaney,,,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1693,2171,AJ,,,Hammons,,,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
1694,2172,Kay,,,Felder,,,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1695,2173,Stephen,,,Zimmerman,,,ORL,Orlando,East,Southeast,Orlando Magic,Magic
1696,2174,Maurice,,,Ndour,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1697,2176,Georgios,,,Papagiannis,,,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1698,2177,Tim,,,Quarterman,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1699,2179,Marshall,,,Plumlee,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1700,2180,Chinanu,,,Onuaku,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1701,2181,Pierre,,,Jackson,,,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
1702,2182,Okaro,,,White,,,MIA,Miami,East,Southeast,Miami Heat,Heat
1703,2183,Mike,,,Tobey,,,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1704,2184,Marcus,,,Georges-Hunt,,,MIA,Miami,East,Southeast,Miami Heat,Heat
1705,2185,Brice,,,Johnson,,,LAC,LA,West,Pacific,LA Clippers,Clippers
1706,2186,Ben,,,Bentil,,,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
1707,2187,Shawn,,,Long,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1708,2191,Patricio,,,Garino,,,ORL,Orlando,East,Southeast,Orlando Magic,Magic
1709,2192,Charles,,,Cooke,,,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
1710,2193,Jalen,,,Jones,,,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
1711,2195,Alec,,,Peters,,,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1712,2197,Matt,,,Williams Jr.,,,MIA,Miami,East,Southeast,Miami Heat,Heat
